Title,Film,Year,Singer,Composer,Lyricist,Lyrics
main mandir pahunchaa haan jii saj rahii galii merii maan,kunvaaraa baap,1974,rafi mahmood chorus,rajesh roshan,majrooh, chunarii gote men rupahalii gote men saj rahii galii merii maan chunarii gote men saj rahii galii merii ammaa chunarii gote men chunarii gote men rupahalii gote men threedots  ammaa tere munne kii gajab hai baat oy chandaa jaisaa mukhadaa kiran jaise haath saj rahii galii merii maan threedots  tuu maan kaa bachchaa   haan jii naa baap na jachchaa   haan jii bin khet kaa bandaa   haan jii bin muragii andaa   haan jii bin pahiye gaadii   haan jii bin aurat saadii   haan jii bin aam ki guthalii   haan jii hai aam se hamako matalab guthalii se kyaa lenaa mil jaae maal apanaa  se kyaa lenaa saj rahii galii merii maan threedots  main mandir pahunchaa  haan jii ek bachchaa dekhaa  haan jii naa koii aage  haan jii naa koii piichhe  haan jii main chauk men aa ke   haan jii le chalaa uthaa ke  haan jii ki maan ko de duun   haan jii mandir men rakh duun   haan jii bande ne dekhaa   haan jii vo zaalim samajhaa   haan jii ye paap hai meraa   haan jii bas mujhako gheraa   haan jii phir poliis aaii   haan jii kii laakh duhaaii   haan jii vo ek na maanaa   haan jii pad gayaa le jaanaa    haan jii sochaa le jaakar   haan jii use rakh duun baahar   haan jii badaa jatan lagaayaa   haan jii koi kaam na aayaa   haan jii sadakon par dekhaa    haan jii gaadii men phenkaa   haan jii ban gayaa ye bandaa    haan jii is gale kaa phandaa    haan jii main phir bhii     haan jii kachare men daalaa   haan jii phir baarish aaii   haan jii andhiyaarii chhaaii   haan jii bijalii jab kadakii   haan jii merii chhaatii dhadakii   haan jii ek tiir saa laagaa    haan jii main vaapas bhaagaa   haan jii phir bachche ko uthaayaa gale se yuun lagaayaa aage kyaa boluun yaaraa main paapii dil pe haaraa  betaa tere kisse pe dil meraa roe jiye teraa munnaa    hoe  saj rahii galii merii maan chunarii gote men threedots
mil gaii aasamaan se zamiin,parai aag pakistanifilm,1971,mehdi hasan naseem begum,khurshid anwar,tanvir naqvi,     na 	mil gaii aasamaan se zamiin 	mujhako aataa nahiin hai yaqiin 	yuun zamaane men hotaa nahiin 	mil gaii aasamaan se zamiin  	ek merii kushii ke liye 	jal uthenge hazaaron diye 	shehredil men yuun hii umr bhar 	tum rahoge ujaalaa kiye 	zindagii hogii itanii hasiin 	yuun zamaane men hotaa nahiin 	mil gaii aasamaan se zamiin  me 	merii jaan merii duniyaa hai tuu 	mujhako hai terii hii aarazuu 	maahoanjum teraa aks hain 	tujhase hai roshanii chaarsuu 	tuu hasiin teraa dil bhii hasiin 	yuun zamaane men hotaa nahiin do 	mil gaii aasamaan se zamiin  na 	mujhako samajhoge tum apanii jaan 	aur basaaoge meraa jahaan 	vaham men bhii nahiin thaa mere 	mujhape ho jaaoge meharabaan 	kaab to ye nahiin hai kahiin 	yuun zamaane men hotaa nahiin 	mil gaii aasamaan se zamiin 
bhiitarbhiitar khaae chalo baahar shor,sankalp determination,1974,mukesh mahendra kapoor,khaiyyam,kaifi azmi,  mu 	bhiitarbhiitar khaae chalo baahar shor machaae chalo ma 	bhed kaun kholegaa munh se kaun bolegaa do 	bhiitarbhiitar khaae threedots  mu 	janataa bholiibhaalii hai pet bhii jeb bhii khaalii hai 	naaron se garamaa do lahuu vaadon se bahalaae chalo do 	bhiitarbhiitar khaae threedots  mu 	badhatii jaae manhagaaii ghatatii jaae hai kamaaii ma 	chiizon ke daam badhaae chalo insaan kaa bhaav giraae chalo do 	bhiitarbhiitar khaae threedots  ma 	haathon men kuchh not lo phir chaaho jitane vot lo mu 	khote se khotaa kaam karo baapuu ko niilaam karo do 	bhiitarbhiitar khaae threedots  asaraanii 	are baapuu kii tasviir hai ye ma 	tere baap kii kyaa jaagiir hai ye 	baapuubaapuu karate raho mu 	zahar dilon men bharate raho ma 	bastiibastii aag lage mu 	har insaan ik naag lage 	praantpraant ko tang kare ma 	bhaashaa se bhaashaa jang kare mu 	koii yahaan maliyaalii ma 	koii yahaan bangaalii mu 	gujaraatii hai koii yahaan ma 	panjaabii hai koii yahaan mu 	koii hai maraathaa aur vo tamil ma 	aapas men yaarii hai mushkil do 	sabako chaahie apanii zamiin hindustaanii koii nahiin ko 	hindustaanii koii nahiin 2  mu 	desh kahaan ab desh rahaa ma 	desh kahaan ab desh rahaa mu 	desh to siimaaon men bantaa ma 	aur bhii tukade udaae chalo do 	kursii apanii bachaae chalo 	bhiitarbhiitar khaae threedots 
mere diivaanepan kii bhii davaa nahiin,mehboob ki mehandi,1971,kishor,laxmikantpyarelal,anand bakshi,  mere diivaanepan kii bhii davaa nahiin 2 maine jaane kyaa sun liyaa tuune to kuchh kahaa nahiin mere diivaanepan kii threedots  main ye samajhaa mere dil kii koii hasarat nikal gaii 2 tuune dekhaa mujhe aise ke tabiyat machal gaii varanaa tere sar kii qasam aadamii main buraa nahiin mere diivaanepan kii threedots  beadab huun main diivaanaa kis kadar tuu kafaa huii 2 chhuu liyaa kyon badan teraa taubaa kaisii kataa huii saarii duniyaa men koii mere laayak sazaa nahiin mere diivaanepan kii threedots  chaandanii raat men jaise rukegul pe kiran padii 2 besabab ruuth kar tere maathe pe yuun shikan padii mere mahabuub ye terii berukii hai adaa nahiin mere diivaanepan kii threedots 
shuruu hotaa hai phir baaton kaa mausam,shole,1975,kishore manna de bhupinder anand bakshi chorus,r d burman,anand bakshi, shuruu hotaa hai phir baaton kaa mausam suhaanii chaandanii raaton kaa mausam bujhaaen kis tarah dil kii lagii ko lagaaen aag ham is chaandanii ko ki chaand saa koii chaharaa na pahaluu men ho  arz kiyaa hai threedots haay ki chaand saa koii chaharaa na pahaluu men ho to chaandanii kaa mazaa nahiin aataa are jaam piikar sharaabii na gir jaae to 2 mayakashii kaa mazaaa nahiin aataa ki chaand saa koii chaharaa threedots  zindagii hai mukammal adhuurii nahiin chaand saa koii chaharaa zaruurii nahiin husn saiyyaad hai ishq fariyaad hai ye jo do naam hain donon badanaam hain tum to naadaan ho gam ke mehamaan ho dil zaraa thaam lo aql se kaam lo agarach roshanii hotii hai saahab sab chiraagon se zaraa saa farq hotaa hai dilon men aur dimaagon men ai mere doston aql se kaam lo baat dil kii karo kyonkithreedots sher dil ko na tadapaake rakh de agar to shaayarii kaa mazaa nahiin aataa ki chaand saa koii chaharaa threedots  sharbatii aankh ke dushmanon se bacho reshmii zulf kii ulajhanon se bacho vo galii chhod do ye bharam tod do yuun na aahen bharo in se taubaa karo ye jo diladaar hain sab sitamagar hain dil jo dete hain ye to jaan lete hain ye vafaa ke naam ko aashiq kabhii rusvaa nahiin karate kataa dete hain vo sar ko kabhii shikavaa nahiin karate dil machal jaane do tiir chal jaane do dam nikal jaane do aur maut se aadamii ko agar dar lage to zindagii kaa mazaa aataa nahiin ki chaand saa koii chaharaa threedots  ishq men yaad kuchh aur hotaa nahiin aashiqii kuub kii dil se mahabuub kii yaad jaatii nahiin niind aatii nahiin dard khilataa nahiin chain milataa nahiin yaa kudaa kyaa karen ham davaa kyaa karen davaa dardejigar kii puuchhate ho tum diivaane se ye dil kii aag bujhegii faqat aansuu bahaane se yah sitam kis lie gam ho kam kis lie roen ham kis lie kyonkithreedots aag par koii paanii agar daal de to dillagii kaa mazaa aataa nahiin chaand sa koii chaharaa threedots
tujhe dekh kar jag vaale par yakiin nahiin kyon kar hogaa,saavan ko aane do,1979,yesudas,rajkamal,indeevar, tujhe dekh kar jag vaale par yakiin nahiin kyuun kar hogaa  jisakii rachana itani sundar vo kitanaa sundar hogaa  vo kitanaa sundar hogaa   tujhe dekhane ko main kya har darpan tarasaa karataa hai  jyon tulasii ke biravaa ko har aangan tarasaa karataa hai  har aangan tarasaa karataa hai  apana ruup dikhaane ko threedots ho ho o ho  apana ruup dikhaane ko tere ruup men khud iishvar hogaa  jisakii rachana threedots  ruup rang ras ka sangam aadhar tu prem kahani ka  mere pyaase man men yuun utari jyon ret men jharanaa pani ka  jyon ret men jharanaa pani  rom rom tera ras kii ganga threedots ho ho o ho  rom rom tera ras kii ganga ruup ka vo saagar hogaa  jisakii rachanaa threedots
mahabuubaa mahabuubaa mahabuubaa mahabuubaa,sholay,1975,r d burman,r d burman,anand bakshi, mahabuubaa mahabuubaa  mahabuubaa mahabuubaa  gulashan men gul khilate hain jab saharaa men milate hain main aur tuu mahabuubaa mahabuubaa  mahabuubaa mahabuubaa  chaand sitaaron se nikalaa phuul bahaaron se nikalaa din duubaa mahabuubaa mahabuubaa  mahabuubaa mahabuubaa  husn aur ishq kii raahon men baahon men aur nigaahon men din duubaa mahabuubaa mahabuubaa  mahabuubaa mahabuubaa  mahabuubaa mahabuubaa  mahabuubaa mahabuubaa 
jaanejaanaan jaao kal phir aanaa,samaadhi,1972,kishor,r d burman,majrooh,   jaanejaanaan jaao kal phir aanaa yuun hii kisii mod pe mil jaanaa  2  ab yaad rakhanaa raah ye dilabar luutaa hai is par tumane bahaar men kab tak yahiin par aankh bichhaae baithaa rahuungaa main intazaar men jaao karo na beqal dil rahaa hai machal baaqii baaten hongii kal abhii kyaa kahuun jaanejaanaan jaao threedots  thodii abhii to nazar jhukaaogii thodaa abhii sharamaaogii tum pahalaa hii din hai apane milan kaa dochaar din men khul jaaogii tum ise kahate hain pyaar sikhaauungaa main yaar huun tumhaaraa daavedaar aage kyaa kahuun jaanejaanaan jaao threedots  paagal kaho tum hans kar mujhako yaa dil hii dil men diivaanaa samajho par ye tumhaarii aisii adaa hai apane kisii ko begaanaa samajho na samajh men ho kam na umar men ho kam ab tumase sanam main bhii kyaa kahuun jaanejaanaan jaao threedots 
meraa jiivan kuchh kaam naa aayaa,meraa jeewan,1976,kishor,sapan jagmohan,m g hashmat,   meraa jiivan  2 kuchh kaam naa aayaa jaise suukhe ped kii chhaayaa 2  o apanon ke hote hue man men basii tanhaaii ho aansuu banaa ke kushii aankhon se maine barasaaii ho kushiyon ko roterote duniyaa men ab to meraa jii ghabaraayaa meraa jiivan threedots  o baras gae re saavan dariyaa bhii josh men aae ho phuul bhii khilane lage kaliyon ke man muskaae suunii rahii ek daalii usape to koii ab tak phuul naa aayaa meraa jiivan threedots  o jiine ko jii naa chaahe maanguun to maut naa aae ho saanson ke chalane ko to jiivan kahaa nahiin jaae ho dard basaa ke dil men meraa nasiib mujhako kahaan pe laayaa meraa jiivan threedots 
satyam shivam sundaram,satyam shivam sundaram,1978,lata,laxmikantpyarelal,pt narendra sharma,  ishvar satya hai satya hii shiv hai shiv hii sundar hai jaago uth kar dekho jiivan jyot ujaagar hai  satyam shivam sundaram  2 ishvar satya hai satya hii shiv hai shiv hii sundar hai satyam shivam sundaram  2  raam avadh men kaashii men shiv kaanhaa vrindavan men dayaa karo prabhuu dekhuun in ko  2 har ghar ke aangan men raadhaa mohan sharanam satyam shivam sundaram  2  ek suuryaa hai ek gagan hai ek hii dharatii maataa dayaa karo prabhuu ek banen sab sab kaa ek se naataa raadhaa mohan sharanam satyam shivam sundaram  2 
khullamkhullaa pyaar karenge ham donon,khel khel mein,1975,kishor asha,r d burman,gulshan bawra,  aa 	are dekh rahe hain ki 	dekhane do aa 	jal bhii rahe hain ki 	to jalane do aa 	khulii sadak hai baabaa ki 	to kyaa huaa bhaii aa 	haan ki 	to ho jaae  	khullamkhullaa pyaar karenge ham donon 	is duniyaa se nahiin darenge ham donon 	pyaar ham karate hain chorii nahiin aa 	mil gae dil zoraazorii nahiin 	ham vo karenge dil jo kare 	hamako zamaane se kyaa do 	khullamkhullaa pyaar threedots  ki 	he dekh vo ishq chhupchhup ke faramaa rahe hain aa 	hai kyaa mazaa dil hii dil men to ghabaraa rahe hain ki 	lagataa hai donon padosii hain vo aa 	rishtaa hii aisaa hai jaane bhii do 	ham vo karenge threedots do 	khullamkhullaa pyaar threedots  aa 	ai sun zaraa inakii jodii hai kaisii niraalii 	hai baat kyaa piichhe laalaa chale aage laalii ki 	donon men inamen banatii na ho aa 	apanii tarah shaayad chhanatii na ho 	ham vo karenge threedots do 	khullamkhullaa pyaar threedots  aa 	he ki 	bolo na aa 	pyaar kaa hai ye dushman zamaanaa ki 	are sun aa 	haan bataa ki 	sabako milataa nahiin ye kazaanaa aa 	jisako ajii ye kazaanaa mile 	dekhdekh unako ye duniyaa jale 	ham vo karenge threedots ki 	hamako zamaane se kyaa do 	khullamkhullaa pyaar threedots 
naa puuchho koii hamen zahar kyuun pii liyaa,amaanush,1975,kishor,shyamal mitra,indivar,  naa puuchho koii hamen zahar kyuun pii liyaa zahar ye pii liyaa to thodaa saa jii liyaa  pii ke naa bhuukh lage naa rahe dard koii gariibon kaa to nahiin aisaa hamadard koii kab tak ham aahen bharate naa piite to kyaa karate pii gaii aag hamen das gae naag hamen sunaa hai zahar se hii zahar maraa karataa hai naa puuchho koii hamen threedots  mittii ke pyaale jaisaa sabhii mujhe tod gae khaalii botal kii tarah raste men chhod gae jhuuthe to puuje jaaen sazaa ye sachche paaen zulm nirdosh rahaa nyaay kaamosh rahaa tuu bhii bhagavaan kyaa insaaf kiyaa karataa hai naa puuchho koii hamen threedots 
maut tuu ek kaviitaa hai,anand,1970,amitabh,,, maut tuu ek kaviitaa hai  mujhase ek kaviitaa kaa vaadaa hai milegii mujhako   duubatii nabzon men jab dard ko niind aane lage zard saa cheharaa lie chaand ufak tak pahunche din abhii paanii men ho raat kinaare ke kariib na abhii andheraa ho na ujaalaa ho na raat na din jism jab khatm ho aur ruuh ko saans aae   mujhase ek kaviitaa kaa vaadaa hai milegii mujhako  
tumhaarii berukii se pareshaan hain nazaare,yauwan,1973,kishore,sonikomi,omkar verma,  tumhaarii berukii se pareshaan hain nazaare zaraa saa muskaraa ke tum inhen de do sahaare tumhaarii berukii se threedots  pareshaan kisalie hotii ho tum apanii javaanii se kushii aur man kaa rishtaa to rahegaa zindagaanii se hai gam kaisaa kaho hamase o dil men hai tumhaare tumhaarii berukii se threedots  kisii pyaase kii aankhon ke chhalakate jaam piine do kisii bhanvare kii zulfon ke hamen saae men jiine do samaa tham jaae jo ik baar tum kar do ishaare tumhaarii berukii se threedots  jalegaa dil bahaaron kaa jo tum aansuu bahaaoge milegaa chain kaliyon ko agar tum muskaraaogii usii kii zindagaanii hai jo ise hans kar guzaare tumhaarii berukii se threedots 
meraa man teraa pyaasaa meraa man teraa,gambler,1971,rafi,s d burman,neeraj, meraa man teraa pyaasaa meraa man teraa puurii kab hogii aashaa meraa man teraa  jab se maine dekhaa tujhe meraa man nahiin rahaa meraa de de apanaa haath mere haathon men kyaa jaae teraa ab to na todo aashaa meraa man threedots  zindagii hai merii ik daanv tuu hai haarjiit maarii aise vaise kaise bhii tuu khel hamase jaise marzii taarii kitanii hai bholii aashaa meraa man threedots  pataa nahiin kaun huun main kyaa huun aur kahaan mujhe jaanaa apanii vo kahaanii jo anjaanii ho ke ban gaii fasaanaa jiivan kyaa hai tamaashaa meraa man threedots
man ke kazaane men maayaa hii maayaa,teen chor maalik tere bande ham  jail hamaaraa desh,1973,rafi,sonikomi,rajinder krishan,  man ke kazaane men maayaa hii maayaa jab bhii tuu chaahe ise luut le  dikhaaii na de andhere men taalaa tuu jyoti lagan kii jalaa le agar haath kaanpe to hari naam le kar tuu puujaa kii chaabii lagaa le daraatii hai kyon mujhako apanii chhaayaa teraa hii dhan hai ye nahiin hai paraayaa jab bhii tuu chaahe threedots  kabhii haar daataa kii hotii nahiin na jaataa khaalii kabhii lene vaalaa bharegii terii na ye trishnaa kii jholii thakegaa na vo dene vaalaa usii ne banaaii hai terii ye kaayaa kaayaa men bhakti kaa dhan hai chhupaayaa jab bhii tuu chaahe threedots 
